Link,Description,Likes,Comments,Date,Hashtags
https://www.tiktok.com/@kira.konst2/video/7525083953267576086,,2275,53,2025-12-09,
https://www.tiktok.com/@vvaalma/video/7568868425158659349,,33,5,2025-12-09,
https://www.tiktok.com/@babyskriss/video/7191039854573128962,,47.7K,208,2025-12-09,
https://www.tiktok.com/@nataliiias_/video/7536236287469178134,,16.8K,74,2025-12-09,
https://www.tiktok.com/@luckilyxxx/video/7496517458048650514,,45K,355,2025-12-09,
https://www.tiktok.com/@s.polishh/video/7454138270692248850,,47.5K,397,2025-12-09,
https://www.tiktok.com/@zhigareva_original/video/7577062237957868820,,6796,117,2025-12-09,
https://www.tiktok.com/@imargottt/video/7578235540105956626,,1015,14,2025-12-09,
https://www.tiktok.com/@aydashkamm/video/7369218463396580651,,149.6K,1039,2025-12-09,
https://www.tiktok.com/@test.guru/video/7479024278927609110,,30.8K,827,2025-12-09,
https://www.tiktok.com/@nice4zzz/video/7564838583966666006,,0,0,2025-12-09,
https://www.tiktok.com/@sotnikova.mua/video/7492426988783750406,,530,19,2025-12-09,
https://www.tiktok.com/@dana_angchloe/video/7427057642067086610,,165.7K,710,2025-12-09,
https://www.tiktok.com/@lesovkaaaa/video/7551344537860394262,,7728,90,2025-12-09,
https://www.tiktok.com/@amore.ketti/video/7554052267012345106,,4915,98,2025-12-09,
https://www.tiktok.com/@wmwmwll/video/7527646139496107286,,12.2K,210,2025-12-09,
https://www.tiktok.com/@hemitodaycosmetickazakh/video/7562403594599664916,,12K,1,2025-12-09,
https://www.tiktok.com/@kamillanrg/video/7574399265896779028,,451,9,2025-12-09,
https://www.tiktok.com/@lina.german/video/7574819302231084310,,18,2,2025-12-09,
https://www.tiktok.com/@emilya_loker/video/7504279748588145927,,22.1K,97,2025-12-09,
